Setup,Type,Generation,Average,Std
Setup_20250920_1627,Training,0,0.5011591954244282,0.001994392369424853
Setup_20250920_1627,Training,1,0.4595131266345614,0.0039416363709845765
Setup_20250920_1627,Training,2,0.42374582363636737,0.00535255781886764
Setup_20250920_1627,Training,3,0.41154256879071693,0.00557027416788863
Setup_20250920_1627,Training,4,0.4075662612659941,0.005486289416929989
Setup_20250920_1627,Training,5,0.40454762700517194,0.007743104234536503
Setup_20250920_1627,Training,6,0.4013392868438057,0.007813073040857342
Setup_20250920_1627,Training,7,0.4011653354573766,0.0075367023887024775
Setup_20250920_1627,Training,8,0.4013115499347275,0.00922166816875693
Setup_20250920_1627,Training,9,0.4015340895634758,0.009407471792281491
Setup_20250920_1627,Training,10,0.4020476243092989,0.00930904847845371
Setup_20250920_1627,Training,11,0.4017008820503776,0.008738098581549981
Setup_20250920_1627,Training,12,0.40098427138302184,0.009149999174356998
Setup_20250920_1627,Training,13,0.40032857321562293,0.009991583055871328
Setup_20250920_1627,Training,14,0.40042566537426494,0.009978830740540059
Setup_20250920_1627,Training,15,0.40046983807928793,0.01067353176100429
Setup_20250920_1627,Training,16,0.4003176321325637,0.009917666972341652
Setup_20250920_1627,Training,17,0.4006173364884588,0.009097499315422019
Setup_20250920_1627,Training,18,0.3997928978641291,0.009198351268412472
Setup_20250920_1627,Training,19,0.3997216115745494,0.009990481710730883
Setup_20250920_1627,Training,20,0.39915177491188314,0.009069218411501687
Setup_20250920_1627,Training,21,0.3993951762131912,0.009985086539057962
Setup_20250920_1627,Training,22,0.398999685345098,0.009840672196449813
Setup_20250920_1627,Training,23,0.39907354162075453,0.010643527626999483
Setup_20250920_1627,Training,24,0.39884656397890816,0.009850265245856015
Setup_20250920_1627,Training,25,0.3990375902681967,0.009715044530771324
Setup_20250920_1627,Training,26,0.3980835577467146,0.009111088443650965
Setup_20250920_1627,Training,27,0.3984354933323659,0.008447112529576015
Setup_20250920_1627,Training,28,0.39786011843064234,0.008445630545993727
Setup_20250920_1627,Training,29,0.39814401484895634,0.008142108508911379
Setup_20250920_1627,Training,30,0.39789691727798276,0.007990298107083103
Setup_20250920_1627,Training,31,0.39850217675687394,0.009450760133589269
Setup_20250920_1627,Training,32,0.39891624437168716,0.008999117204613103
Setup_20250920_1627,Training,33,0.3994282836748693,0.010002238394533878
Setup_20250920_1627,Training,34,0.3990957763158796,0.009705374756068155
Setup_20250920_1627,Training,35,0.39950599861264835,0.009951879160877235
Setup_20250920_1627,Training,36,0.3998443143250714,0.010395558416415152
Setup_20250920_1627,Training,37,0.4003058203138898,0.011120429724106382
Setup_20250920_1627,Training,38,0.40049593701863745,0.010851404911111565
Setup_20250920_1627,Training,39,0.4004016601845136,0.009797126014558401
Setup_20250920_1627,Training,40,0.400590927656823,0.009780146545460456
Setup_20250920_1627,Training,41,0.40163464464287973,0.01072961019014994
Setup_20250920_1627,Training,42,0.4011572135393244,0.010856502874365364
Setup_20250920_1627,Training,43,0.40121377310622347,0.011037679783291171
Setup_20250920_1627,Training,44,0.40130057259602353,0.010898272979738123
Setup_20250920_1627,Training,45,0.4017098808048898,0.010490650005825304
Setup_20250920_1627,Training,46,0.40204713233078554,0.011660219549371603
Setup_20250920_1627,Training,47,0.40202424353778127,0.011140605628891808
